Singerman ID,leave blank,Description,leave blank 2
supp0012,,"Owen, Olin Marvin. Rum, Rags and Religion. [Binghamton, N.Y., c1891]. 125 p. 

A Protestant foe of alcohol consumption (the liquor traffic is controlled by the ""Romish church"") deplores the rising influence of aliens arriving from Catholic countries. He praises the Jewish people for their sobriety, ""orderly character,"" and low rate of prison incarceration for criminal offences (pp. 110-11). Cover has subtitle: ""IN DARKEST AMERICA AND THE WAY OUT.""

Copies: DLC.",
supp0013,,"The wandering Jew; or, the shoe-maker of Jerusalem. Who lived when our Lord and Saviour, Jesus Christ, was crucified, and by him appointed to wander until he comes again. With his travels, method of living, and a discourse with some clergymen about the end of the world. To which is added, a true and wonderful relation of the appearance of three angels (clothed in white raiment) to a young man in Medford, near Boston, on the 4th of February, 1761, at night: together with the substance of a discourse, delivered by one of the angels, from the 3d chap. of Colossians, 4th verse. Newark, [N.J.]: Printed by Daniel Dodge, 1797. 8 p. 

Cf. Joseph J. Felcone, Printing in New Jersey 1754- 1800: A Descriptive Bibliography (Worcester, [Mass.], 2012), no. 924.

Copies: NjMo.",
supp0014,,"Philadelphia. United Hebrew Beneficent Society. Constitution and By-laws of the ""United Hebrew Beneficent Society of Philadelphia."" [·∏§evrah gemilut ·∏•asadim ve-·∏•inukh na ªarim]. Instituted in the Month of [Tamuz] ... A.M. 5582-June 16, 1822. Incorporated MDCCCXXIX. Philadelphia: Printed for the use of the Society, by Haswell, Harrington, and Haswell, 1837. 24 p.

List of current officers and members on pp. [23]-24.

Copies: MH-H.",
supp0015,,"The Entertaining, Moral, and Religious Repository, containing, Upwards of Three Score Separate Performances, all of which are Written in a Simple yet Pleasing Stile [!], and are Eminently Calculated for the Amusement and Instruction of the Youth of Both Sexes. Published by a Society in Great-Britain, instituted for the Beneficent Purpose of Aiding the Intention of His Majesty, as Expressed in His Royal Proclamation for the Suppression of Vice and Immortality. New-York: Printed by George Forman, for Cornelius Davis, 1799. 396 p. 

""A Jewish Tradition Concerning Moses"": pp. 95-96. See also entry [Aguecheek 1764 file] Evans 35297. A different text, ""A Jewish Tradition,"" is in Hutchins Improved, being an Almanack and Ephemeris ... for the Year of our Lord 1801 (New-York: Printed and sold by Ming and Young, [1800], unpaged. Evans 37669. Copies: MWA.

Copies: CtY, DLC, MWA, NN, PPL.",
supp0016,,"Marshall, William. A Theological Dissertation on the Propriety of Removing from the Seat of Pestilence, presented to the Perusal of the Serious Inhabitants of Philadelphia and New-York. ... Philadelphia: Printed and sold by David Hogan, 1799. 22 p., [2] p. of adv.

Draws upon the Scriptural passage that ""Jesus would not walk in Jewry because the Jews sought to kill him"" (John 7:1) as justification for fleeing ""from a place of danger"" (p. 10). Evans 35772.

Copies: DLC, DNLM, MWA, NN, PPL.",
supp0017,,"Backus, Charles. A Sermon, delivered Jan. 1, 1801; containing a Brief Review of some of the Distinguishing Events of the Eighteenth Century. Hartford: Printed by Hudson and Goodwin, 1801. 31 p.

Half title: Mr. Backus‚Äôs Century Sermon. Running title: A Century Sermon. The paragraph about Jewish life in the diaspora also refers to Moses Maimonides (p. 15); in addition, see p. 24 concerning Biblical prophecy in relation to the Jewish exile. S & S 93.

Copies: CSmH, CU, CtY, DLC, GEU-T, MH-AH, MWA, MnU, NcD, RPB, WHi.",
supp0018,,"Campbell, John. Worlds Displayed; for the Benefit of Young People, by a Familiar History of some of Their Inhabitants. First American Edition. New-York: Printed by James Oram, for Cornelius Davis, 1801. 120 p. 

""History of a Jewish Convert"": pp. 25-35. The narrator, raised in a family of wicked Pharisees, tells the true story of the Jewish Christians in Judea and of their persecution by the Jews after they crucified Jesus the Messiah. Preface signed John Campbell. Frequently reissued.

Copies: CtY-B (defective), IU, MSaPEM.",
supp0019,,"Freemasons. Grand Lodge of the State of New York. The Constitutions of the Ancient and Honorable Fraternity of Free and Accepted Masons in the State of New-York. Collected and digested by Order of the Grand Lodge. New-York: D. Longworth, Anno Lucis 5801 [1801]. 64 p.

""A Prayer said at the opening of the Lodge, or making a New Brother, &c. used by Jewish Free Masons"": pp. 56-57; ""Ahabatholam"": p. 58. S & S 529.

Copies: NHi, NIC, NN, NNFM, PPL, TU.",
supp0020,,"The New Children‚Äôs Friend; or, Pleasing Incitements to Wisdom and Virtue; conveyed through the Medium of Anecdote, Tale, and Adventure. Calculated to Entertain, Fortify, and Improve the Juvenile Mind. Translated chiefly from the German. Philadelphia: Printed and sold by Joseph and James Crukshank, 1801. iv, 103 p.

""The Compassionate Jew"": pp. 32-33. S & S 993.

Copies: CLU, MWA, PSt.",
supp0021,,"Worcester, Mass. Hebrew Debating Asembly. Constitution of the Hebrew Debating Assembly organized September 4th, 1898. Worcester, Mass. [Worcester, Mass.]: Press of Bay State Printing Co., [1898?]. 15 p.



Copies: MWA.",
supp0022,,"Philadelphia. Female Association of Philadelphia for the Relief of Women and Children in Reduced Circumstances. The Constitution of the Female Association of Philadelphia for the Relief of Women and Children, in Reduced Circumstances ... Philadelphia: Jane Aitken, 1803. 32 p.

The list of subscribers and collectors includes many Jews, among them Rebecca Gratz. S & S 4860.

Copies: AJHS, DLC, DNLM (defective), PPL, PU (LKCJAS).",
supp0023,,"Charleston, S.C. Hebrew Orphan Asylum. The Constitution of Abi Yetomim Abne Ebyonim; or, Hebrew Orphan Asylum, founded in Charleston, S.C., 1801-5561. Incorporated, 1802-5562. Revised, 1859-5619. Revised, 1867-5627. Charleston, S.C.: Joseph Walker, 1867. 22 p. 

""Names of Members"": pp. [15]-22.

Copies: ScCC.",
supp0024,,"Holyoke, Samuel. The Christian Harmonist, containing a set of Tunes adapted to all the Metres in Mr. Rippon‚Äôs Selection of Hymns, in the Collection of Hymns by Mr. Joshua Smith, and in Dr. Watt‚Äôs Psalms and Hymns. To which are added, Hymns on Particular Subjects, set throughout, Two Anthems, and a Funeral Dirge, with a Concise Introduction of Practical Principles. The Whole in a Familiar Style, designed for the Use of the Baptist Churches in the United States. Selected and composed by ... Salem, [Mass.], 1804. 198, [1] p. 

No. 98, ""Judea"" (Jewish Air); No. 172, ""Jewin-Street (Hebrew Chant); No. 207, ""The Jewish Shepherds"" (Billings). S & S 6492.

Copies: CtHC, CtY, DLC, MB, MBC, MWA, NjPT, NN, RPB.",
supp0025,,"A Memorial Service. A Tribute of Reform Congregation Keneseth Israel to The Memory of Philip Lewin, who had been its President, from April 13th, 1892 to the day of his death, March 26th, 1898. Sunday, April 3d, 1898, Philadelphia. [Philadelphia, 1898]. 12, [2] p.

Contains a frontispiece of the desceased and memorial addresses by Rabbis Joseph Krauskopf and J. Leonard Levy. On cover: In Memoriam. Philip Lewin.

Copies: NHi.",
supp0026,,"Congressional Record: Containing the Proceedings and Debates of the Fifty-fifth Congress, Third Session. Volume XXXII, Pt. III. Washington: Govt. Print. Off., 1899. 

Session of the House of Representatives opened on Feb. 28, 1899, with a prayer by Rabbi Gustav N. Hausmann, Grand Rapids, Mich., but text is not given (see p. 2576).

Copies: In most federal documents collections.",
supp0027,,"Furst, William. Children of the Ghetto Waltzes. New York: Howley, Haviland & Co., [cMDCCCXCIX]. score (7 p.). 

For piano. As performed at the Liebler Company‚Äôs recent production of Zangwill‚Äôs Children of the Ghetto. In addition to E. Goldensky‚Äôs photograph of Zangwill on the front cover, the back cover depicts the play‚Äôs cast. On cover: ""This Is The Only Authorized Edition.""

Copies: NN (Performing Arts, Lincoln Center).",
supp0028,,"Buck, Charles. A Theological Dictionary containing Definitions of all Religious Terms, A Comprehensive View of every Article in the System of Divinity, An Impartial Account of all the Principle Denominations which have Subsisted in the Religious World, from the Birth of Christ to the Present Day. Together with an Accurate Statement of the most Remarkable Transactions and Events Recorded in Ecclesiastical History. Whitehall, [Pa.]: Printed for W. W. Woodward, 1807. 2 vols. 

""Jews"": vol. 1, pp. 384-94. Frequently reissued. S & S 12228.

Copies: CU, CtY-D, DLC, KyU, NNUT, ViU.",
supp0029,,"Die fromme Zwillinge: Eine Geschichte von zween Christen=knaben, die von einem Juden in die T√ºrkey verkauft wurden, und wunderbarlich mit ihrem Vater vom Tode errettet. Das erste deutsche Virginische Kinderbuch. Neumarket: Gedruckt und zu haben bey Ambrosius Henkel, 1807. 32 p.

S & S 12746. Cf. Christopher L. Dolmetsch, The German Press of the Shenandoah Valley (Columbia, S.C., 1984), pp. 86-87.

Copies: ViU, ViW.",
supp0030,,"People of All Nations; An Useful Toy for Girl or Boy. Philadelphia: Jacob Johnson, 1807. unpaged. 

The letter ""J"" is represented by ""A Jew,"" with accompanying full-page illustration. For other edition, see (=1818) S & S 13354.

Copies: DLC, MH, MWA, NN, PHi, PP.",
supp0031,,"The History of Ali Cogia. The Moral Contained in This Interesting Story ought to be Impressed on the Mind of Every Magistrate. To which is Added the Story of Cogia Hassan Alhabbal, thus Translated for the use of Country Gentlemen, Merchant Hassan, Rope Maker, of Baghdad. Salem, [N.Y.]: Printed by Dodd and Rumsey, for Webster & Skinner, Albany, 1808. 108 p. 

The owner of a diamond (or was it really glass?) discovered in the belly of a fish offered it to a Jewish woman and her husband, a jeweler, in a failed attempt to negotiate a sale. S & S 15239.

Copies: ICN, InU, MWA.",
supp0032,,"Holmes, Abiel. A Discourse, delivered before the Society for Propagating the Gospel among the Indians and others in North America, at their Anniversary Meeting in Boston, November 3, 1808. Boston: Farrand, Mallory, 1808. 68 p. 

Notwithstanding the blindness of Israel by its rejection of Christ, the conversion of the Jews and all nations on earth is anticipated. S & S 15255.

Copies: CSt, CtY, DLC, ICN, IU, MH, MWA, MiU, NN, OU, PHi, RPB.",
supp0033,,"Macklin, Charles. The Man of the World; A Comedy, in Five Acts. As performed at the Boston Theatre, and at the Theatre-Royal Dublin. Boston: John West, 1808. 72 p. 

Act II, Scene I, relates a conversation between a bishop (""Beeshop"") and a Jew; the bishop tries to convert the Jew while the overly clever Jew picks the bishop‚Äôs brain in the hope of ""making a stroke in the stocks"" (p. 30). Later editions exist. S & S 15473.

Copies: MH-H, MWA, NNS, UOW.",
supp0034,,"C., H. A. The History of Mother Twaddle and the Marvellous Atchievements [!] of Her Son Jack. By H.A.C. Philadelphia: Published and sold wholesale by Wm. Charles, 1809. unpaged.

The first American edition of Jack and the Bean Stalk includes an illustrated scene of a Jew selling Jack a rare bean that ""vill grow near as high as de Sun."" Cover title: Jack and the Bean Stalk. The History of Mother Twaddle and the Marvellous Atchievements [sic] of Her Son Jack. Illustrated with Fifteen Engravings. By H.A.C. S & S 17757.

Copies: CtY-B (defective), DeWint, MWA (defective), UPB.",
supp0035,,"Woodside, John W. Why Pat was a Democrat, and other Campaign Arguments, in Verse. [n.p., 1888?]. 16 p.

Occasioned by the presidential contest of 1888 between Grover Cleveland and Benjamin Harrison. A dialect poem, ""Why Moses Guggenheimer would Vote for Harrison,"" is on p. 12.

Copies: RPB.",
supp0036,,"Fenn, James. The Gracious Proclamation of Emmanuel the King of Kings, to all Nations, Languages, and People under Heaven, Greeting. To which is added, The Burning Bush, The Jewish and Christian Jubilee, The Man of Sin, The Origin of Evil, &c. &c. ... Schenectady, [181-?]. 36 p.



Copies: CSt, MWA, N.",
supp0037,,"[Cuming, George]. An Oration delivered on the 4th of July, 1810, in the Presbyterian Church, in East Rutger Street, before the following Societies: Tammany, Taylors‚Äô, Hatters‚Äô, Hibernian Provident, Masons‚Äô, Shipwrights‚Äô, Carptenters‚Äô, and Columbian. By Dr. Cuming ... New-York: Printed by E. Conrad, 1810. 14 p.

In his argument for maintaining the separation between church and state, the author, drawing on Connecticut‚Äôs Governor Jonathan Trumbull, contends that any union of the ""mosque or the synagogue"" (p. 11) is to be resisted. Authorship has been attributed in error to Hooper Cumming. S & S 19903 (under Hooper Cumming).

Copies: MWA, N, NN.",
supp0038,,"Peabody, Elizabeth Palmer. Sabbath Lessons; or, An Abstract of Sacred History, to which is annexed, A Geographical Sketch of the Principal Places mentioned in Sacred History. Salem, [Mass.]: Printed by Thomas C. Cushing, 1810. 123 p.

Written in catechism format. Lesson 10 (pp. 58-59), devoted to chapters 26 and 27 of the Gospel of Matthew, treats the ""conspiracy of the Jewish rulers against Jesus Christ,"" Judas Iscariot and his betrayal of Jesus, and how Jesus was ""bound and delivered to Pontius Pilate, the governor,"" by the Jews. S & S 21004. Another ed.: Salem, [Mass.]: Printed by Joshua Cushing, 1813 [c1810]. 108 p. S & S 29459. Copies: CtY, MB, MBC, MH-AH, MH-H, MWA, NCaS, NN, OYesA, PMA.

Copies: MeB, MeWC, MH-H, MHi, MSaPEM, MWA, NjP, PP, PPL, UU.",
supp0039,,"Wahre Geschichte oder Lebensbeschreibung des immer in der Welt herum wandernden Juden das ist, Bericht von einem Juden aus Jerusalem, mit Namen Ahasverus, welcher vorgiebt, er sey bey der Kreutzigung Christi geweesen [sic], und bisher durch die Allmacht Gottes beym Leben erhalten wurden. Nebst einem Bericht von den zwoÃàlf juÃàdischen StaÃàm[m]en, was ein jeder Stam[m] dem Herrn Christo zur Schmach angethan haben soll, und was sie dafuÃàr leiden muÃà√üen. Auf vieler Verlangen zum zweytenmal zum Druck gebracht, von Georg Hohmann, bey Hellerstadt, Northampton County, Pa. [Easton, Pa.?: C.J. HuÃàtter?, ca. 1810]. 46 p. 



Copies: PSt (entered under Chrysostomus Dudulaeus).",
supp0040,,"Chandler, Joseph, ed. The Young Gentleman and Lady‚Äôs Museum. Being a Collection of Elegant, Entertaining and Instructive Pieces; calculated to Improve Young Persons in the Art of Reading and Speaking. Designed for the use of Schools. Hallowell: Printed and sold by N. Cheever. Sold also by E. Goodale, at the Hallowell Bookstore; P. Edes, Augusta; S. W. Winchester, Wiscasset; S. Butts, Portland, [Me.]; Thomas and Whipple, Newburyport; H. Whipple, Salem; and E. Larkin, Boston, 1811. 215 p.

The Wandering Jew legend. Cf. Karl John Richard Arndt and Reimer C. Eck, eds. The First Century of German Language Printing in the United States of America (G√∂ttingen, 1989), no. 1723. For other ed., see entry Gewisser Bericht / 1765

Copies: CSmH, Me, MeU, MeWaC, MWA, MsHaU, RPB.",
supp0041,,"The Chaplet of Comus; or, Feast of Sentiment, and Festival of Wit ... Boston: Munroe and Francis, etc., 1811. 324 p.

See pp. 226-27 for London‚Äôs Jewish dealers in old clothes; also pp. 208-10, a parody of a bookseller‚Äôs advertisement for learned tomes such as dissertations on the Targum and Talmud. S & S 22510.

Copies: DLC, MB, MHi, MWA, NN, PPL.",
supp0042,,"Clarke, Edward Daniel. Travels in various Countries of Europe, Asia, and Africa. Part the First. Russia, Tartary and Turkey. Philadelphia: Anthony Finley, 1811. xxii, 612 p.

For Crimean Karaites and their cemetery at Chufut-Kale (Dshoufoutkale), see pp. 384-90. Subsequently expanded and reissued as a multivolume set. S & S 22541.

Copies: CtY, KyLx, MWA, PU, ScU.",
supp0043,,"Eckman, Julius. ""Prayer by the Rev. Julius Eckman of the Portuguese congregation of Richmond."" In: Journal of the House of Delegates of Virginia, for the Session of 1849-50 (Richmond: William F. Ritchie, 1849; i.e., 1850), pp. 150, 153, 155, 159, 160, 416, 425, 431, 440, 462. 

Sessions of Jan. 15, 16, 17, 18, 19, 1850, and March 18, 19, 20, 21, 22, 1850, opened by Rabbi Eckman but the prayer‚Äôs text is not given.

Copies: MWA, Vi.",
supp0044,,"Paterson, William. A Treatise Commenting the Return of the Israelites to be Now at Hand: likewise, sitting [!] forth some of the Principal Evidences of Marks of the True Messiah: in a Letter addressed to the Jews. Newburgh, [N.Y.]: Printed by Ward M. Gazlay, for the author, 1811. 27 p.



Copies: NHi (mutilated with slight loss of text).",
supp0045,,"Philadelphia. Female Association of Philadelphia for the Relief of Women and Children in Reduced Circumstances. The Constitution of the Female Association of Philadelphia, for the Relief of Women and Children in Reduced Circumstances. Philadelphia: Printed by Thomas & William Bradford, [1811?]. 19, [1] p. 

A non-sectarian association with at least eight Jewish members, including Rebecca Gratz.

Copies: AJHS, PP.",
supp0046,,"The New=England Almanack, For the Year of Our Lord CHRIST, 1813 ... Fitted to the meridian of New-London ... The Astronomical Calculations performed by Nathan Daboll. ... New-London, [Conn.]: Printed and sold by Samuel Green, [1812]. unpaged. 

""Destruction of Jerusalem, by Titus"" (a section of seven paragraphs that extendd over slightly more than three pages). S & S 26209.

Copies: CtY-B, MWA, NHi, OU.",
supp0047,,"Kinne, Aaron. A Display, of Scriptural Prophecies, with Their Events, and the Period of Their Accomplishments. Compiled from Rollin, Prideaux, Newton, and Other Eminent Writers. ... Stockbridge, [Mass.]: Printed by H. Willard, for the Author, 1813. 15 p. Prophecies concerning the Jews are included. The wrappers contain advertisements. S & S 28884.

Prophecies concerning the Jews are included. The wrappers contain advertisements. S & S 28884.

Copies: CSmH, CtHC, GEU-T, KyU, MWA, MWiW, MnU, NRU, OO, TxDaM-P.",
supp0048,,"Evans, John, ed. The Parnassian Garland; or, Beauties of Modern Poetry, consisting of Upwards of Two Hundred Pieces, selected from the Works of the Most Distinguished Poets of the Present Age. With Introductory Lines to Each Article. Designed for the use of Schools and the Admirers of Poetry in general. ... Philadelphia: Printed for M. Carey; Griggs & Dickinsons, Printers, 1814. 288 p. 

Contains ""The Return of the Jews,"" by Francis Wrangham (pp. 83-84), also ""Song, for the Wandering Jew,"" by William Wordsworth (pp. 104-5). S & S 31430.

Copies: CtY, DLC, KyLx, MWA (defective; lacks pp. 83- 84), NBuC, NN, NcU, PHi.",
supp0049,,"Juvenile Monitor; or, The New Children‚Äôs Friend. Translated from the German. First American ed. Boston: Bradford and Read, 1314 [i.e., 1814]. 118, [2] p. 

""The Compassionate Jew"": pp. 42-44 (with accompanying illus.). The MWA copy is printed by A. Bowen (per title page) but J. Belcher‚Äôs name appears on the cover as the printer. S & S 31846.

Copies: CLU, CtNhH, GU, MWA, MiKW.",
supp0050,,"[Lloyd, Rees]. The Richmond Alarm. A Plain and Familiar Discourse in the Form of a Dialogue between a Father and His Son, in Three Parts: I. Containing Introduction, with many Instructive Hints and Observations upon many of the most Remarkable Occurrences, Wonders, and Curiosities in History; with a Short Account of the Four Religions of the World, viz. Pagan, Jewish, Mahometan and Christian Religion; and a Brief Account of the Greek Church, Popish Church, and Protestant Church. II. An Account of the Burning of the Theatre in Richmond, December 26, 1811; with Observations upon the Nature and Effects of Stage Plays, Masquerades, Balls, Puppet Shows, Horse Races, and Gambling. III. Reflections upon that Conflagration; with a Solemn Application to People of every Rank and Character ... Written at the Request of a Number of Pious Persons, by an Independent Minister ... Philadelphia: Printer for the Author, J. Bioren, Printer, [1814]. 144 p. 

S & S 31946.

Copies: DLC (defective), P, PHi, Vi, ViU.",
supp0051,,"Snell, Thomas. A Sermon, delivered before the General Association of Massachusetts Proper, at Their Annual Meeting in Dorchester, June 1814. Boston: Samuel A. Armstrong, 1814. 22 p.

Criticizes the Jews for their spiritual blindness in not accepting the divinity of Jesus. S & S 32807.

Copies: CtY, MeB, MWA, N, RPB.",
supp0052,,"Spalding, Josiah. The Burden and Heat of the Day, borne by the Jewish Church. A Sermon, preached at Shelburne, before the Auxiliary Society for Foreign Missions, at their Annual Meeting, Oct. 12, 1813. Boston: Printed by Samuel T. Armstrong, 1814. 28 p.

""Joshua"" is printed in error on the title page as the author‚Äôs given name. S & S 32830.

Copies: CPFT, KPT, MH-H, MWA, MiU-C, MnU, N, NNJ, NRU, PPiPT, RPB, VtMiM.",
supp0053,,"Bates, Barnabas. A Discourse, delivered to the Inhabitants of Bristol, (R.I.) assembled to celebrate the Anniversary of American Independence, Tuesday, 4th July, 1815. Warren, (R.I.): Printed by Samuel Randall, 1815. 19 p. 

Compares the sufferings endured by the American colonists under King George III to those of the Israelites enslaved by the pharaoh in Egypt. S & S 34006.

Copies: MNcANT, MWA, RPB.",
supp0054,,"Emmons, Nathanael. A Discourse Delivered on the National Thanksgiving, April 13, 1815. Dedham, [Mass.]: Printed at The Gazette Office, 1815. 19 p. 

The discourse, marking the close of the War of 1812, dwells on the rights of a people to choose their own rulers; this is illustrated with the Jewish exiles and the text of Jer. 30:21, ""And their nobles shall be of themselves, and their governor shall proceed from the midst of them"" (p. [3]). S & S 34640.

Copies: In most academic libraries.",
supp0055,,"Botsford, Edmund. The Wandering Jew. [Philadelphia?, not before 1816]. 8 p. 

On pp. 5-8, ""Letter II. The Second Sight."" The two letters were first published in the Religious Remembrancer (Philadelphia), Aug. 12, 1815, and June 1, 1816, respectively (signed: E‚Äì B‚Äì).

Copies: DLC, KyLoS.",
supp0056,,"Johnston, Robert. Travels through Part of the Russian Empire and the Country of Poland; Along the Southern Shores of the Baltic. From the First London Edition of 1815. New-York: David Longworth, 1816. viii, [17]- 403 p. 

For Jews, see pp. 329-35. S & S 37960.

Copies: DLC, ICU, MWA, NN, NcD, OClWHi, OO.",
supp0057,,"Braham, John. Japhtha‚Äôs Daughter. From the Hebrew Melodies. Braham and Nathan. [New York?, 1817]. score (3 p.). 

""Nathan"" is Isaac Nathan. Two undated editions, each called Jephtha‚Äôs Daughter, were later issued by Firth & Hall, New York.

Copies: ICN, PP.",
supp0058,,"The Planters‚Äô & Merchants‚Äô Almanac, for the Year of Our Lord 1818, being the Second after Bissextile, or Leap-Year, and (till July Fourth) the 42nd of American Independence. Calculated for the States of Carolina & Georgia ... Together with the Hebrew Festivals, Fasts, &c. and a New Gardener‚Äôs Calender ... Astronomical Part by Andrew Beers, Philom. Charleston, [S.C.]: Printed and sold by A. E. Miller, etc., [1817]. unpaged. 

The Hebrew calendar is for the year 5579. S & S 41437 (duplicated by 41840). The annual Hebrew calendar remained a standard feature of Miller‚Äôs Planters‚Äô and Merchants‚Äô Almanac as late as the issue for 1880 containing a calendar for 5640/41.

Copies: NHi, PPL. MWA (defective).",
supp0059,,"[Coffin, Robert Stevenson]. The Miscellaneous Poems of the Boston Bard. Philadelphia: Printed for the Author by J. H. Cunningham, 1818. 156 p. 

""Solomon and Queen Sheba"": pp. 61-63 (""The following well pointed story is taken by D‚ÄôIsraeli from the Talmud""). S & S 43660.

Copies: CSmH, CU, MWA, MiU, MnU, NjP, NjR, NNC, NcU, PHi, PU, ViU.",
supp0060,,"[Disraeli, Isaac]. The Literary Character, illustrated by the History of Men of Genius, drawn from Their Own Feelings and Confessions. By the Author of ""Curiosities of Literature."" New-York: James Eastburn, 1818. 302 p. 

For Moses Mendelssohn, the ""Jewish Socrates,"" see pp. 56-62. S & S 43864.

Copies: DLC, MH, MWA, NN, NcU, PPL, ViU.",
